Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
99,Friday Jul 29,boxscore,NYM,@,MIA,W,6,4,,62-37,1,up 3.0,Ottavino,Okert,Díaz,3:16,N,15131,.82,++++,
100,Saturday Jul 30,boxscore,NYM,@,MIA,W,4,0,,63-37,1,up 3.0,Carrasco,Neidert,,2:35,N,16655,.86,+++++,
101,Sunday Jul 31,boxscore,NYM,@,MIA,W,9,3,,64-37,1,up 3.0,Walker,López,,3:23,D,17449,.76,++++++,
102,Monday Aug 1,boxscore,NYM,@,WSN,W,7,3,,65-37,1,up 3.5,Scherzer,Corbin,,3:20,N,29034,.77,+++++++,
103,Tuesday Aug 2,boxscore,NYM,@,WSN,L,1,5,,65-38,1,up 2.5,Arano,Nogosek,,2:48,N,29878,.75,-,
104,Wednesday Aug 3,boxscore,NYM,@,WSN,W,9,5,,66-38,1,up 3.5,Bassitt,Sánchez,,3:18,D,27851,.80,+,
105,Thursday Aug 4,boxscore,NYM,,ATL,W,6,4,,67-38,1,up 4.5,Carrasco,Wright,Díaz,2:49,N,38693,1.20,++,
106,Friday Aug 5,boxscore,NYM,,ATL,L,6,9,,67-39,1,up 3.5,Minter,Walker,,3:38,N,40305,1.09,-,
107,Saturday Aug 6 (1),boxscore,NYM,,ATL,W,8,5,,68-39,1,up 5.5,Peterson,Odorizzi,Díaz,3:53,D,37790,1.23,+,
108,Saturday Aug 6 (2),boxscore,NYM,,ATL,W,6,2,,69-39,1,up 5.5,Scherzer,Fried,,3:02,N,37452,1.08,++,
109,Sunday Aug 7,boxscore,NYM,,ATL,W,5,2,,70-39,1,up 6.5,deGrom,Strider,Díaz,2:58,D,37717,.96,+++,
110,Monday Aug 8,boxscore,NYM,,CIN,W,5,1,,71-39,1,up 7.0,Bassitt,Dunn,,2:56,N,28448,.52,++++,
111,Tuesday Aug 9,boxscore,NYM,,CIN,W,6,2,,72-39,1,up 7.0,Carrasco,Minor,,2:59,N,30816,.47,+++++,
112,Wednesday Aug 10,boxscore,NYM,,CIN,W,10,2,,73-39,1,up 7.0,Walker,Zeuch,,3:01,D,36883,.44,++++++,
113,Friday Aug 12,boxscore,NYM,,PHI,L,1,2,10,73-40,1,up 6.0,Domínguez,Givens,Robertson,2:54,N,38467,.48,-,
114,Saturday Aug 13,boxscore,NYM,,PHI,W,1,0,,74-40,1,up 5.5,deGrom,Nola,Díaz,2:24,N,43857,.61,+,
115,Sunday Aug 14,boxscore,NYM,,PHI,W,6,0,,75-40,1,up 5.5,Bassitt,Wheeler,,3:22,D,40513,.59,++,
116,Monday Aug 15,boxscore,NYM,@,ATL,L,1,13,,75-41,1,up 4.5,Strider,Carrasco,,3:18,N,38380,.92,-,
117,Tuesday Aug 16,boxscore,NYM,@,ATL,L,0,5,,75-42,1,up 3.5,Morton,Alvarez,,2:51,N,37449,1.14,--,
118,Wednesday Aug 17,boxscore,NYM,@,ATL,W,9,7,,76-42,1,up 4.5,Scherzer,Odorizzi,,3:22,N,34308,1.31,+,
119,Thursday Aug 18,boxscore,NYM,@,ATL,L,2,3,,76-43,1,up 3.5,Fried,deGrom,Jansen,2:41,N,39378,1.10,-,
120,Friday Aug 19,boxscore,NYM,@,PHI,W,7,2,,77-43,1,up 3.5,Bassitt,Nola,,3:28,N,43176,.78,+,
121,Saturday Aug 20 (1),boxscore,NYM,@,PHI,W,8,2,,78-43,1,up 3.0,Lugo,Wheeler,,3:42,D,36809,.70,++,
122,Saturday Aug 20 (2),boxscore,NYM,@,PHI,L,1,4,,78-44,1,up 3.0,Falter,Peterson,Robertson,3:23,N,39374,.62,-,
123,Sunday Aug 21,boxscore,NYM,@,PHI,W,10,9,,79-44,1,up 4.0,May,Robertson,Díaz,4:26,D,35801,.79,+,
124,Monday Aug 22,boxscore,NYM,@,NYY,L,2,4,,79-45,1,up 3.0,Germán,Scherzer,Loáisiga,2:48,N,48760,.61,-,
125,Tuesday Aug 23,boxscore,NYM,@,NYY,L,2,4,,79-46,1,up 2.0,Schmidt,Rodríguez,Peralta,3:23,N,49217,.77,--,
126,Thursday Aug 25,boxscore,NYM,,COL,W,3,1,,80-46,1,up 2.0,deGrom,Feltner,Ottavino,2:58,N,37377,.91,+,
127,Friday Aug 26,boxscore,NYM,,COL,W-wo,7,6,,81-46,1,up 2.0,Díaz,Bard,,3:09,N,32447,.88,++,
128,Saturday Aug 27,boxscore,NYM,,COL,W,3,0,,82-46,1,up 3.0,Peterson,Freeland,Ottavino,2:54,N,42617,.89,+++,
129,Sunday Aug 28,boxscore,NYM,,COL,L,0,1,,82-47,1,up 3.0,Márquez,Scherzer,Bard,2:50,D,36396,.74,-,
130,Tuesday Aug 30,boxscore,NYM,,LAD,L,3,4,,82-48,1,up 3.0,Hembree,Rodríguez,Reed,3:12,N,40607,.79,--,
131,Wednesday Aug 31,boxscore,NYM,,LAD,W,2,1,,83-48,1,up 3.0,deGrom,Anderson,Díaz,2:19,N,41799,.80,+,
132,Thursday Sep 1,boxscore,NYM,,LAD,W,5,3,,84-48,1,up 3.0,Bassitt,Martin,Ottavino,3:14,D,36908,.79,++,
133,Friday Sep 2,boxscore,NYM,,WSN,W,7,3,,85-48,1,up 3.0,Givens,Gray,,3:09,N,33630,.79,+++,
134,Saturday Sep 3,boxscore,NYM,,WSN,L,1,7,,85-49,1,up 2.0,Corbin,Ottavino,,2:52,N,33509,.79,-,
135,Sunday Sep 4,boxscore,NYM,,WSN,L,1,7,,85-50,1,up 1.0,Fedde,Carrasco,,2:54,D,31711,.93,--,
136,Tuesday Sep 6,boxscore,NYM,@,PIT,L,2,8,,85-51,1,Tied,Keller,Walker,,3:10,N,8817,.99,---,
137,Wednesday Sep 7 (1),boxscore,NYM,@,PIT,W,5,1,,86-51,1,up 0.5,Bassitt,Underwood,,2:36,D,8717,1.09,+,
138,Wednesday Sep 7 (2),boxscore,NYM,@,PIT,W,10,0,,87-51,1,up 0.5,deGrom,Oviedo,,3:17,N,9824,1.13,++,
139,Friday Sep 9,boxscore,NYM,@,MIA,L,3,6,,87-52,2,0.5,Cabrera,Peterson,Floro,3:05,N,12692,1.11,-,
140,Saturday Sep 10,boxscore,NYM,@,MIA,W,11,3,,88-52,1,up 0.5,Carrasco,López,,3:13,N,17441,1.16,+,
141,Sunday Sep 11,boxscore,NYM,@,MIA,W,9,3,,89-52,1,up 1.5,Walker,Luzardo,,3:01,D,13234,1.11,++,
